en_id pn_id num_en num_pn delta_sec time_sec completions msg_size[byte] total[byte] total[Gbit] throughput[Gbit/s]

0 0 5 5 9.99999 20 2270146 4096 9298518016 74.3881 7.43882
0 1 5 5 9.99999 20 1132170 4096 4637368320 37.0989 3.7099
0 2 5 5 9.99999 20 1131518 4096 4634697728 37.0776 3.70776
0 3 5 5 9.99999 20 1133173 4096 4641476608 37.1318 3.71318
0 4 5 5 9.99999 20 1132118 4096 4637155328 37.0972 3.70973
1 0 5 5 9.99999 20 1144745 4096 4688875520 37.511 3.7511
1 1 5 5 9.99999 20 2298132 4096 9413148672 75.3052 7.53053
1 2 5 5 9.99999 20 1145266 4096 4691009536 37.5281 3.75281
1 3 5 5 9.99999 20 1145476 4096 4691869696 37.535 3.7535
1 4 5 5 9.99999 20 1146119 4096 4694503424 37.556 3.75561
2 0 5 5 10 20 1131524 4096 4634722304 37.0778 3.70778
2 1 5 5 10 20 1132578 4096 4639039488 37.1123 3.71123
2 2 5 5 10 20 2268816 4096 9293070336 74.3446 7.43445
2 3 5 5 10 20 1130882 4096 4632092672 37.0567 3.70567
2 4 5 5 10 20 1133388 4096 4642357248 37.1389 3.71388
3 0 5 5 10 20 1134706 4096 4647755776 37.182 3.7182
3 1 5 5 10 20 1135256 4096 4650008576 37.2001 3.72001
3 2 5 5 10 20 1134224 4096 4645781504 37.1663 3.71662
3 3 5 5 10 20 2275581 4096 9320779776 74.5662 7.45662
3 4 5 5 10 20 1135319 4096 4650266624 37.2021 3.72021
4 0 5 5 9.99999 20 1142130 4096 4678164480 37.4253 3.74253
4 1 5 5 9.99999 20 1144714 4096 4688748544 37.51 3.751
4 2 5 5 9.99999 20 1143923 4096 4685508608 37.4841 3.74841
4 3 5 5 9.99999 20 1141930 4096 4677345280 37.4188 3.74188
4 4 5 5 9.99999 20 2292176 4096 9388752896 75.11 7.51101
0 0 5 5 10 30 2915689 4096 11942662144 95.5413 9.55413
0 1 5 5 10 30 973389 4096 3987001344 31.896 3.1896
0 2 5 5 10 30 973902 4096 3989102592 31.9128 3.19128
0 3 5 5 10 30 973538 4096 3987611648 31.9009 3.19009
0 4 5 5 10 30 974183 4096 3990253568 31.922 3.1922
1 0 5 5 10 30 987197 4096 4043558912 32.3485 3.23485
1 1 5 5 10 30 2956651 4096 12110442496 96.8835 9.68835
1 2 5 5 10 30 987685 4096 4045557760 32.3645 3.23645
1 3 5 5 10 30 986831 4096 4042059776 32.3365 3.23365
1 4 5 5 10 30 987927 4096 4046548992 32.3724 3.23724
2 0 5 5 10 30 973505 4096 3987476480 31.8998 3.18998
2 1 5 5 10 30 974638 4096 3992117248 31.9369 3.19369
2 2 5 5 10 30 2915502 4096 11941896192 95.5352 9.55351
2 3 5 5 10 30 973850 4096 3988889600 31.9111 3.19111
2 4 5 5 10 30 973466 4096 3987316736 31.8985 3.18985
3 0 5 5 10 30 977956 4096 4005707776 32.0457 3.20457
3 1 5 5 10 30 978079 4096 4006211584 32.0497 3.20497
3 2 5 5 10 30 978362 4096 4007370752 32.059 3.2059
3 3 5 5 10 30 2929350 4096 11998617600 95.9889 9.59889
3 4 5 5 10 30 979043 4096 4010160128 32.0813 3.20813
4 0 5 5 10 30 984063 4096 4030722048 32.2458 3.22458
4 1 5 5 10 30 983002 4096 4026376192 32.211 3.2211
4 2 5 5 10 30 983378 4096 4027916288 32.2233 3.22233
4 3 5 5 10 30 983596 4096 4028809216 32.2305 3.22305
4 4 5 5 10 30 2944093 4096 12059004928 96.472 9.6472
0 0 5 5 36 36 8546068 4096 35004694528 280.038 7.77883
0 1 5 5 36 36 3966018 4096 16244809728 129.958 3.60996
0 2 5 5 36 36 3965076 4096 16240951296 129.928 3.6091
0 3 5 5 36 36 3966927 4096 16248532992 129.988 3.61079
0 4 5 5 36 36 3966797 4096 16248000512 129.984 3.61067
1 0 5 5 36 36 4002673 4096 16394948608 131.16 3.64333
1 1 5 5 36 36 8652669 4096 35441332224 283.531 7.87586
1 2 5 5 36 36 4003951 4096 16400183296 131.201 3.64449
1 3 5 5 36 36 4003458 4096 16398163968 131.185 3.64404
1 4 5 5 36 36 4006322 4096 16409894912 131.279 3.64665
2 0 5 5 36 36 3963252 4096 16233480192 129.868 3.60744
2 1 5 5 36 36 3967412 4096 16250519552 130.004 3.61123
2 2 5 5 36 36 8544950 4096 35000115200 280.001 7.77781
2 3 5 5 36 36 3963585 4096 16234844160 129.879 3.60775
2 4 5 5 36 36 3965958 4096 16244563968 129.957 3.60991
3 0 5 5 36 36 3974606 4096 16279986176 130.24 3.61778
3 1 5 5 36 36 3976255 4096 16286740480 130.294 3.61928
3 2 5 5 36 36 3974370 4096 16279019520 130.232 3.61756
3 3 5 5 36 36 8577794 4096 35134644224 281.077 7.8077
3 4 5 5 36 36 3978142 4096 16294469632 130.356 3.621
4 0 5 5 36 36 3996187 4096 16368381952 130.947 3.63742
4 1 5 5 36 36 3996658 4096 16370311168 130.962 3.63785
4 2 5 5 36 36 3995893 4096 16367177728 130.937 3.63715
4 3 5 5 36 36 3994048 4096 16359620608 130.877 3.63547
4 4 5 5 36 36 8621855 4096 35315118080 282.521 7.84781
